id_commune;id_election;id_candidat;inscrits;abstentions;votants;blancs;nuls;exprimes;pct_abs_ins;pct_vot_ins;pct_blancs_ins;pct_blancs_vot;pct_nuls_ins;pct_nuls_vot;pct_exprimes_ins;pct_exprimes_vot;voix;pct_voix_ins;pct_voix_exprimes;date_integration_gold
69-61;2017_T2;CAND_001;928;180;748;78;18;652;19.4;80.6;8.41;10.43;1.94;2.41;70.26;87.17;397;42.78;60.89;2026-03-24T19:55:58.226396
69-61;2017_T2;CAND_002;928;180;748;78;18;652;19.4;80.6;8.41;10.43;1.94;2.41;70.26;87.17;255;27.48;39.11;2026-03-24T19:55:58.226396
69-62;2017_T2;CAND_001;608;96;512;34;11;467;15.79;84.21;5.59;6.64;1.81;2.15;76.81;91.21;304;50.0;65.1;2026-03-24T19:55:58.226396
69-62;2017_T2;CAND_002;608;96;512;34;11;467;15.79;84.21;5.59;6.64;1.81;2.15;76.81;91.21;163;26.81;34.9;2026-03-24T19:55:58.226396
69-63;2017_T2;CAND_001;3290;657;2633;201;54;2378;19.97;80.03;6.11;7.63;1.64;2.05;72.28;90.32;1875;56.99;78.85;2026-03-24T19:55:58.226396
69-63;2017_T2;CAND_002;3290;657;2633;201;54;2378;19.97;80.03;6.11;7.63;1.64;2.05;72.28;90.32;503;15.29;21.15;2026-03-24T19:55:58.226396
69-64;2017_T2;CAND_001;2703;644;2059;199;69;1791;23.83;76.17;7.36;9.66;2.55;3.35;66.26;86.98;1241;45.91;69.29;2026-03-24T19:55:58.226396
69-64;2017_T2;CAND_002;2703;644;2059;199;69;1791;23.83;76.17;7.36;9.66;2.55;3.35;66.26;86.98;550;20.35;30.71;2026-03-24T19:55:58.226396
69-65;2017_T2;CAND_001;661;113;548;57;18;473;17.1;82.9;8.62;10.4;2.72;3.28;71.56;86.31;207;31.32;43.76;2026-03-24T19:55:58.226396
69-65;2017_T2;CAND_002;661;113;548;57;18;473;17.1;82.9;8.62;10.4;2.72;3.28;71.56;86.31;266;40.24;56.24;2026-03-24T19:55:58.226396
69-66;2017_T2;CAND_001;3288;751;2537;265;80;2192;22.84;77.16;8.06;10.45;2.43;3.15;66.67;86.4;1203;36.59;54.88;2026-03-24T19:55:58.226396
69-66;2017_T2;CAND_002;3288;751;2537;265;80;2192;22.84;77.16;8.06;10.45;2.43;3.15;66.67;86.4;989;30.08;45.12;2026-03-24T19:55:58.226396
69-67;2017_T2;CAND_001;866;168;698;57;21;620;19.4;80.6;6.58;8.17;2.42;3.01;71.59;88.83;365;42.15;58.87;2026-03-24T19:55:58.226396
69-67;2017_T2;CAND_002;866;168;698;57;21;620;19.4;80.6;6.58;8.17;2.42;3.01;71.59;88.83;255;29.45;41.13;2026-03-24T19:55:58.226396
69-68;2017_T2;CAND_001;1782;375;1407;120;31;1256;21.04;78.96;6.73;8.53;1.74;2.2;70.48;89.27;933;52.36;74.28;2026-03-24T19:55:58.226396
69-68;2017_T2;CAND_002;1782;375;1407;120;31;1256;21.04;78.96;6.73;8.53;1.74;2.2;70.48;89.27;323;18.13;25.72;2026-03-24T19:55:58.226396
69-69;2017_T2;CAND_001;7961;1721;6240;507;154;5579;21.62;78.38;6.37;8.12;1.93;2.47;70.08;89.41;4074;51.17;73.02;2026-03-24T19:55:58.226396
69-69;2017_T2;CAND_002;7961;1721;6240;507;154;5579;21.62;78.38;6.37;8.12;1.93;2.47;70.08;89.41;1505;18.9;26.98;2026-03-24T19:55:58.226396
69-70;2017_T2;CAND_001;897;171;726;76;19;631;19.06;80.94;8.47;10.47;2.12;2.62;70.35;86.91;318;35.45;50.4;2026-03-24T19:55:58.226396
69-70;2017_T2;CAND_002;897;171;726;76;19;631;19.06;80.94;8.47;10.47;2.12;2.62;70.35;86.91;313;34.89;49.6;2026-03-24T19:55:58.226396
69-71;2017_T2;CAND_001;840;165;675;53;14;608;19.64;80.36;6.31;7.85;1.67;2.07;72.38;90.07;468;55.71;76.97;2026-03-24T19:55:58.226396
69-71;2017_T2;CAND_002;840;165;675;53;14;608;19.64;80.36;6.31;7.85;1.67;2.07;72.38;90.07;140;16.67;23.03;2026-03-24T19:55:58.226396
69-72;2017_T2;CAND_001;6487;1447;5040;400;112;4528;22.31;77.69;6.17;7.94;1.73;2.22;69.8;89.84;3559;54.86;78.6;2026-03-24T19:55:58.226396
69-72;2017_T2;CAND_002;6487;1447;5040;400;112;4528;22.31;77.69;6.17;7.94;1.73;2.22;69.8;89.84;969;14.94;21.4;2026-03-24T19:55:58.226396
69-73;2017_T2;CAND_001;370;71;299;47;6;246;19.19;80.81;12.7;15.72;1.62;2.01;66.49;82.27;155;41.89;63.01;2026-03-24T19:55:58.226396
69-73;2017_T2;CAND_002;370;71;299;47;6;246;19.19;80.81;12.7;15.72;1.62;2.01;66.49;82.27;91;24.59;36.99;2026-03-24T19:55:58.226396
69-74;2017_T2;CAND_001;1129;175;954;88;15;851;15.5;84.5;7.79;9.22;1.33;1.57;75.38;89.2;570;50.49;66.98;2026-03-24T19:55:58.226396
69-74;2017_T2;CAND_002;1129;175;954;88;15;851;15.5;84.5;7.79;9.22;1.33;1.57;75.38;89.2;281;24.89;33.02;2026-03-24T19:55:58.226396
69-75;2017_T2;CAND_001;126;21;105;6;0;99;16.67;83.33;4.76;5.71;0.0;0.0;78.57;94.29;45;35.71;45.45;2026-03-24T19:55:58.226396
69-75;2017_T2;CAND_002;126;21;105;6;0;99;16.67;83.33;4.76;5.71;0.0;0.0;78.57;94.29;54;42.86;54.55;2026-03-24T19:55:58.226396
69-76;2017_T2;CAND_001;2178;395;1783;166;29;1588;18.14;81.86;7.62;9.31;1.33;1.63;72.91;89.06;1138;52.25;71.66;2026-03-24T19:55:58.226396
69-76;2017_T2;CAND_002;2178;395;1783;166;29;1588;18.14;81.86;7.62;9.31;1.33;1.63;72.91;89.06;450;20.66;28.34;2026-03-24T19:55:58.226396
69-77;2017_T2;CAND_001;686;128;558;49;13;496;18.66;81.34;7.14;8.78;1.9;2.33;72.3;88.89;203;29.59;40.93;2026-03-24T19:55:58.226396
69-77;2017_T2;CAND_002;686;128;558;49;13;496;18.66;81.34;7.14;8.78;1.9;2.33;72.3;88.89;293;42.71;59.07;2026-03-24T19:55:58.226396
69-78;2017_T2;CAND_001;577;97;480;30;6;444;16.81;83.19;5.2;6.25;1.04;1.25;76.95;92.5;289;50.09;65.09;2026-03-24T19:55:58.226396
69-78;2017_T2;CAND_002;577;97;480;30;6;444;16.81;83.19;5.2;6.25;1.04;1.25;76.95;92.5;155;26.86;34.91;2026-03-24T19:55:58.226396
69-80;2017_T2;CAND_001;1235;212;1023;98;18;907;17.17;82.83;7.94;9.58;1.46;1.76;73.44;88.66;501;40.57;55.24;2026-03-24T19:55:58.226396
