id_commune;annee;insee_pop;insee_log
69068;2020;2455;1139
69068;2021;2452;1142
69068;2022;2541;1142
69068;2023;2541;1142
69068;2024;2541;1142
69069;2016;11158;5082
69069;2017;11067;5158
69069;2018;11125;5232
69069;2019;11248;5334
69069;2020;11453;5483
69069;2021;11903;5707
69069;2022;12170;5707
69069;2023;12170;5707
69069;2024;12170;5707
69070;2016;1268;650
69070;2017;1266;655
69070;2018;1258;657
69070;2019;1266;668
69070;2020;1296;680
69070;2021;1327;692
69070;2022;1357;692
69070;2023;1357;692
69070;2024;1357;692
69071;2016;1170;487
69071;2017;1172;492
69071;2018;1175;497
69071;2019;1179;496
69071;2020;1182;495
69071;2021;1179;496
69071;2022;1186;496
69071;2023;1186;496
69071;2024;1186;496
69072;2016;8617;3586
69072;2017;8600;3607
69072;2018;8675;3752
69072;2019;8752;3820
69072;2020;8829;3888
69072;2021;8828;3911
69072;2022;8980;3911
69072;2023;8980;3911
69072;2024;8980;3911
69074;2016;1467;635
69074;2017;1513;656
69074;2018;1531;688
69074;2019;1550;696
69074;2020;1568;704
69074;2021;1564;707
69074;2022;1574;707
69074;2023;1574;707
69074;2024;1574;707
69075;2016;194;83
69075;2017;186;83
69075;2018;189;84
69075;2019;193;86
69075;2020;191;86
69075;2021;194;88
69075;2022;196;88
69075;2023;196;88
69075;2024;196;88
69076;2016;2580;1070
69076;2017;2576;1058
69076;2018;2573;1047
69076;2019;2595;1076
69076;2020;2551;1077
69076;2021;2519;1083
69076;2022;2607;1083
69076;2023;2607;1083
69076;2024;2607;1083
69077;2016;957;381
69077;2017;956;383
69077;2018;954;385
69077;2019;965;392
69077;2020;1035;414
69077;2021;1106;435
69077;2022;1178;435
69077;2023;1178;435
69077;2024;1178;435
69078;2016;823;366
69078;2017;829;367
69078;2018;830;366
69078;2019;837;368
69078;2020;839;370
69078;2021;840;372
69078;2022;842;372
69078;2023;842;372
69078;2024;842;372
69080;2016;1771;697
69080;2017;1799;707
69080;2018;1841;723
69080;2019;1901;746
69080;2020;1914;756
69080;2021;1927;765
69080;2022;1940;765
69080;2023;1940;765
69080;2024;1940;765
69081;2016;18097;8240
69081;2017;18517;8549
69081;2018;18587;8692
69081;2019;18948;8877
69081;2020;18789;8949
69081;2021;18361;9034
69081;2022;18019;9034
69081;2023;18019;9034
69081;2024;18019;9034
69082;2016;251;138
69082;2017;259;144
69082;2018;268;150
69082;2019;270;150
69082;2020;277;153
69082;2021;281;154
69082;2022;278;154
69082;2023;278;154
69082;2024;278;154
69083;2016;1186;465
69083;2017;1169;463
69083;2018;1169;471
69083;2019;1164;467
69083;2020;1159;463
69083;2021;1169;471
69083;2022;1169;471
69083;2023;1169;471
69083;2024;1169;471
69084;2016;1256;714
69084;2017;1265;729
69084;2018;1275;743
69084;2019;1282;747
69084;2020;1300;757
69084;2021;1320;768
69084;2022;1351;768
69084;2023;1351;768
69084;2024;1351;768
69085;2016;1435;615
69085;2017;1449;618
69085;2018;1464;622
69085;2019;1492;636
69085;2020;1491;638
69085;2021;1501;645
69085;2022;1549;645
69085;2023;1549;645
69085;2024;1549;645
69086;2016;2356;947
69086;2017;2334;988
69086;2018;2312;986
69086;2019;2290;984
69086;2020;2272;986
69086;2021;2287;1003
69086;2022;2299;1003
69086;2023;2299;1003
69086;2024;2299;1003
69087;2016;3070;1158
69087;2017;3052;1155
69087;2018;3053;1166
69087;2019;3033;1168
69087;2020;3015;1171
69087;2021;3043;1213
69087;2022;3070;1213
69087;2023;3070;1213
69087;2024;3070;1213
69088;2016;7001;3421
69088;2017;7069;3448
69088;2018;7068;3574
69088;2019;7066;3550
69088;2020;7065;3527
69088;2021;7047;3543
69088;2022;7005;3543
69088;2023;7005;3543
69088;2024;7005;3543
69089;2016;14278;6014
69089;2017;14198;6099
69089;2018;14656;6252
69089;2019;14906;6405
69089;2020;14821;6489
69089;2021;15204;6565
69089;2022;15664;6565
69089;2023;15664;6565
69089;2024;15664;6565
69090;2016;818;341
69090;2017;815;342
69090;2018;814;344
69090;2019;809;344
69090;2020;841;354
69090;2021;873;364
69090;2022;905;364
69090;2023;905;364
69090;2024;905;364
69091;2016;19312;8584
69091;2017;19975;8686
69091;2018;20121;8818
69091;2019;20285;8925
69091;2020;20672;8973
69091;2021;20654;9114
69091;2022;20943;9114
69091;2023;20943;9114
69091;2024;20943;9114
69092;2016;7473;3427
69092;2017;7472;3437
69092;2018;7470;3447
69092;2019;7496;3465
69092;2020;7495;3471
69092;2021;7614;3533
69092;2022;7824;3533
69092;2023;7824;3533
69092;2024;7824;3533
69093;2016;1163;649
69093;2017;1181;661
69093;2018;1184;664
69093;2019;1187;667
69093;2020;1185;666
69093;2021;1198;671
69093;2022;1212;671
69093;2023;1212;671
69093;2024;1212;671
69094;2016;5629;2539
69094;2017;5734;2586
69094;2018;5838;2632
69094;2019;6062;2752
69094;2020;6029;2754
69094;2021;6094;2802
69094;2022;6284;2802
69094;2023;6284;2802
69094;2024;6284;2802
69095;2016;809;374
