id_commune;id_year;decile_1_revenu;decile_9_revenu;ratio_deciles
69060;2020;;;
69060;2021;;;
69061;2014;;;
69061;2015;;;
69061;2016;;;
69061;2017;;;
69061;2018;;;
69061;2019;;;
69061;2020;;;
69061;2021;;;
69062;2014;;;
69062;2015;;;
69062;2016;;;
69062;2017;;;
69062;2018;;;
69062;2019;;;
69062;2020;;;
69062;2021;;;
69063;2014;15284.7619047619;65282.3809523809;4.27107607950651
69063;2015;15061.0;68689.3333333333;4.56074187194299
69063;2016;15973.3333333333;69106.0;4.32633555926544
69063;2017;15720.0;69430.0;4.4
69063;2018;17370.0;72930.0;4.2
69063;2019;16620.0;73540.0;4.4
69063;2020;15720.0;69570.0;4.4
69063;2021;17030.0;74490.0;4.4
69064;2014;11437.1428571429;36540.5;3.19489757681739
69064;2015;12248.5;37916.0;3.09556272196596
69064;2016;12276.3636363636;36434.0;2.96781694312796
69064;2017;12580.0;38330.0;3.0
69064;2018;12770.0;38030.0;3.0
69064;2019;12590.0;38120.0;3.0
69064;2020;13090.0;38430.0;2.9
69064;2021;13140.0;39540.0;3.0
69065;2014;;;
69065;2015;;;
69065;2016;;;
69065;2017;;;
69065;2018;;;
69065;2019;;;
69065;2020;;;
69065;2021;;;
69066;2014;11309.0476190476;33330.6666666667;2.94725672659901
69066;2015;11666.1538461538;32671.3333333333;2.80052309991648
69066;2016;12167.3333333333;32726.5;2.68970193414059
69066;2017;12240.0;33090.0;2.7
69066;2018;11900.0;33120.0;2.8
69066;2019;12250.0;32510.0;2.7
69066;2020;11990.0;33190.0;2.8
69066;2021;12410.0;34140.0;2.8
69067;2014;;;
69067;2015;;;
69067;2016;;;
69067;2017;;;
69067;2018;;;
69067;2019;;;
69067;2020;;;
69067;2021;;;
69068;2014;12974.0;43399.2;3.34509018036072
69068;2015;12695.4;44390.6666666667;3.49659456706103
69068;2016;12913.125;45142.3333333333;3.49584886178468
69068;2017;13460.0;45900.0;3.4
69068;2018;13310.0;48040.0;3.6
69068;2019;13690.0;47710.0;3.5
69068;2020;13820.0;48460.0;3.5
69068;2021;14230.0;50180.0;3.5
69069;2014;13664.7619047619;42009.0;3.07425773626986
69069;2015;13776.58;42857.5;3.11089544720097
69069;2016;14020.0;43095.2380952381;3.07384009238503
69069;2017;14040.0;43340.0;3.1
69069;2018;14290.0;44480.0;3.1
69069;2019;14530.0;44270.0;3.0
69069;2020;14500.0;45100.0;3.1
69069;2021;14980.0;46710.0;3.1
69070;2014;;;
69070;2015;;;
69070;2016;;;
69070;2017;;;
69070;2018;;;
69070;2019;;;
69070;2020;;;
69070;2021;;;
69071;2014;;;
69071;2015;;;
69071;2016;;;
69071;2017;;;
69071;2018;;;
69071;2019;;;
69071;2020;;;
69071;2021;;;
69072;2014;15148.0;56597.5;3.73630182202271
69072;2015;14951.0;57938.3333333333;3.87521458988251
69072;2016;15581.0;58685.3333333333;3.76646770639454
69072;2017;15690.0;60000.0;3.8
69072;2018;15650.0;63260.0;4.0
69072;2019;15460.0;62340.0;4.0
69072;2020;15500.0;61110.0;3.9
69072;2021;16340.0;63900.0;3.9
69074;2014;;;
69074;2015;;;
69074;2016;;;
69074;2017;;;
69074;2018;;;
69074;2019;;;
69074;2020;;;
69074;2021;;;
69075;2014;;;
69075;2015;;;
69075;2016;;;
69075;2017;;;
69075;2018;;;
69075;2019;;;
69075;2020;;;
69075;2021;;;
69076;2014;15790.0;56315.6;3.5665357821406
69076;2015;16285.0;56723.3333333333;3.48316446627776
