id_commune;id_year;nb_menages_fiscaux;nb_personnes_menages_fiscaux;mediane_niveau_vie_euros;pct_menages_imposables
69059;2016;581.0;1501.5;26216.6666666667;
69059;2017;576.0;1457.0;26040.0;
69059;2018;577.0;1451.0;26820.0;
69059;2019;600.0;1484.0;27050.0;
69059;2020;619.0;1586.0;27750.0;
69059;2021;644.0;1647.0;28930.0;
69060;2014;248.0;619.0;19380.0;
69060;2015;247.0;600.0;19775.3333333333;
69060;2016;247.0;597.0;19733.9130434783;
69060;2017;242.0;573.0;20180.0;
69060;2018;248.0;568.0;20840.0;
69060;2019;255.0;599.0;20980.0;
69060;2020;250.0;561.0;21420.0;
69060;2021;245.0;532.0;21860.0;
69061;2014;450.0;1144.5;24554.2857142857;
69061;2015;474.0;1187.5;25589.6;
69061;2016;472.0;1210.5;25339.5238095238;
69061;2017;485.0;1240.0;25400.0;
69061;2018;487.0;1248.0;27040.0;
69061;2019;475.0;1203.0;27400.0;
69061;2020;479.0;1172.0;28110.0;
69061;2021;486.0;1190.0;28860.0;
69062;2014;293.0;802.5;20396.6666666667;
69062;2015;291.0;788.5;21044.7619047619;
69062;2016;297.0;800.0;20948.4;
69062;2017;297.0;782.0;20360.0;
69062;2018;304.0;796.0;21140.0;
69062;2019;303.0;794.0;21460.0;
69062;2020;299.0;799.0;22070.0;
69062;2021;302.0;788.0;22830.0;
69063;2014;1657.0;4346.0;30951.4285714286;79.0
69063;2015;1735.0;4441.5;31123.0;77.0
69063;2016;1749.0;4440.0;32009.3333333333;74.0
69063;2017;1743.0;4455.0;32080.0;75.0
69063;2018;1735.0;4389.0;32880.0;76.0
69063;2019;1732.0;4381.0;33490.0;80.0
69063;2020;1797.0;4538.0;33020.0;72.0
69063;2021;1809.0;4575.0;35240.0;76.0
69064;2014;1625.0;3639.5;20791.6;59.0
69064;2015;1631.0;3659.5;21303.3333333333;57.0
69064;2016;1646.0;3627.5;21697.8260869565;55.0
69064;2017;1637.0;3570.0;22110.0;55.0
69064;2018;1647.0;3606.0;22400.0;53.0
69064;2019;1710.0;3697.0;22410.0;59.0
69064;2020;1770.0;3787.0;22620.0;51.0
69064;2021;1750.0;3718.0;23490.0;53.0
69065;2014;361.0;921.5;21704.2857142857;
69065;2015;353.0;918.0;21894.2857142857;
69065;2016;356.0;929.5;22921.4285714286;
69065;2017;359.0;932.0;22940.0;
69065;2018;363.0;942.0;23330.0;
69065;2019;369.0;945.0;23250.0;
69065;2020;370.0;913.0;24140.0;
69065;2021;374.0;917.0;25170.0;
69066;2014;1710.0;3686.0;19240.3703703704;52.0
69066;2015;2046.0;4400.0;19427.3333333333;50.0
69066;2016;2032.0;4327.5;19657.7777777778;43.0
69066;2017;2012.0;4250.0;19930.0;43.0
69066;2018;1982.0;4181.0;20060.0;40.0
69066;2019;1990.0;4097.0;20220.0;46.0
69066;2020;2038.0;4183.0;20860.0;38.0
69066;2021;2016.0;4152.0;21050.0;41.0
69067;2014;463.0;1117.5;19876.0;
69067;2015;472.0;1130.0;20203.3333333333;
69067;2016;466.0;1108.5;20758.0;
69067;2017;474.0;1118.0;21140.0;
69067;2018;470.0;1119.0;22070.0;
69067;2019;499.0;1134.0;21360.0;
69067;2020;509.0;1136.0;21470.0;
69067;2021;512.0;1152.0;22530.0;
69068;2014;996.0;2392.0;24333.3333333333;68.0
69068;2015;998.0;2396.0;24563.1785714286;66.0
69068;2016;969.0;2331.5;24862.8571428571;63.0
69068;2017;992.0;2390.0;25450.0;63.0
69068;2018;988.0;2349.0;26120.0;64.0
69068;2019;972.0;2331.0;26170.0;68.0
69068;2020;998.0;2412.0;27070.0;62.0
69068;2021;1009.0;2425.0;28290.0;66.0
69069;2014;4619.0;11019.5;24485.0;71.0
69069;2015;4737.0;11199.5;24907.7777777778;69.0
69069;2016;4870.0;11447.5;24907.3333333333;66.0
69069;2017;4877.0;11484.0;25200.0;66.0
69069;2018;4965.0;11523.0;25650.0;66.0
69069;2019;5168.0;11884.0;25770.0;70.0
69069;2020;5322.0;12183.0;26620.0;63.0
69069;2021;5408.0;12230.0;27380.0;66.0
69070;2014;501.0;1208.0;20254.4782608696;
69070;2015;508.0;1204.0;20378.3333333333;
69070;2016;504.0;1210.5;20278.0;
69070;2017;515.0;1221.0;21070.0;
69070;2018;524.0;1231.0;21170.0;
69070;2019;543.0;1273.0;21620.0;
69070;2020;556.0;1286.0;21260.0;
69070;2021;577.0;1307.0;22890.0;
69071;2014;432.0;1180.5;29636.0;
69071;2015;425.0;1168.0;29442.5;
69071;2016;423.0;1152.5;29678.8888888889;
69071;2017;425.0;1128.0;30270.0;
69071;2018;442.0;1169.0;31400.0;
69071;2019;418.0;1095.0;31280.0;
69071;2020;452.0;1198.0;31830.0;
69071;2021;451.0;1193.0;33160.0;
69072;2014;3131.0;8593.0;29393.3333333333;78.0
69072;2015;3135.0;8517.5;29868.5;75.0
69072;2016;3163.0;8613.5;30182.0;74.0
69072;2017;3167.0;8537.0;30510.0;73.0
69072;2018;3175.0;8518.0;31420.0;73.0
69072;2019;3317.0;8807.0;31380.0;78.0
69072;2020;3339.0;8815.0;31830.0;72.0
69072;2021;3443.0;9094.0;32510.0;73.0
69074;2014;563.0;1500.0;23607.6;
69074;2015;569.0;1514.5;24395.3333333333;
69074;2016;603.0;1604.0;24893.75;
69074;2017;607.0;1618.0;25500.0;
69074;2018;608.0;1605.0;26110.0;
69074;2019;618.0;1582.0;26010.0;
69074;2020;609.0;1554.0;26530.0;
69074;2021;620.0;1541.0;28360.0;
69075;2014;63.0;187.5;21472.5;
69075;2015;62.0;189.5;22870.0;
69075;2016;65.0;191.5;22565.3333333333;
69075;2017;66.0;197.0;22650.0;
69075;2018;67.0;197.0;22000.0;
69075;2019;69.0;195.0;22030.0;
69075;2020;67.0;188.0;23240.0;
69075;2021;68.0;185.0;23960.0;
69076;2014;949.0;2690.5;30138.5185185185;81.0
69076;2015;950.0;2698.5;30930.8;79.0
69076;2016;943.0;2632.5;31395.0;76.0
69076;2017;956.0;2651.0;31560.0;76.0
69076;2018;977.0;2656.0;33430.0;77.0
69076;2019;996.0;2673.0;33680.0;80.0
69076;2020;1007.0;2671.0;33820.0;76.0
69076;2021;1001.0;2643.0;34020.0;77.0
69077;2014;344.0;954.0;21808.115942029;
69077;2015;347.0;976.0;22528.0952380952;
69077;2016;345.0;953.0;22460.0;
69077;2017;350.0;949.0;23250.0;
69077;2018;360.0;975.0;23480.0;
69077;2019;384.0;1024.0;23850.0;
69077;2020;397.0;1055.0;23610.0;
69077;2021;408.0;1131.0;24320.0;
69078;2014;302.0;815.0;20548.5;
69078;2015;307.0;825.5;21148.6666666667;
69078;2016;312.0;830.5;21533.0;
69078;2017;318.0;849.0;21640.0;
69078;2018;318.0;847.0;22020.0;
69078;2019;312.0;818.0;22700.0;
69078;2020;312.0;806.0;23360.0;
69078;2021;323.0;818.0;24160.0;
69080;2014;586.0;1597.0;23610.0;
69080;2015;628.0;1689.0;23552.8571428571;
69080;2016;639.0;1717.0;23585.7435897436;
69080;2017;656.0;1749.0;23770.0;
69080;2018;679.0;1808.0;24700.0;
69080;2019;684.0;1825.0;25440.0;
69080;2020;714.0;1890.0;26200.0;
69080;2021;720.0;1898.0;26910.0;
69081;2014;6632.0;16001.5;26630.8333333333;72.0
69081;2015;6658.0;16035.0;27014.8333333333;70.0
69081;2016;6752.0;15990.0;27279.6428571429;67.0
69081;2017;6779.0;16084.0;27610.0;67.0
69081;2018;6739.0;15624.0;28250.0;65.0
69081;2019;7176.0;16626.0;28230.0;71.0
69081;2020;7285.0;16758.0;28350.0;64.0
69081;2021;7078.0;16117.0;29600.0;66.0
69082;2014;108.0;261.5;21007.3333333333;
69082;2015;103.0;254.0;21956.6666666667;
69082;2016;110.0;268.5;21690.4761904762;
69082;2017;109.0;263.0;22100.0;
69082;2018;112.0;261.0;22020.0;
69082;2019;112.0;256.0;22160.0;
69082;2020;105.0;233.0;24100.0;
69082;2021;107.0;237.0;25840.0;
