commune_id;Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;extraction_source_url;ingestion_timestamp;source_file_name
69_062;69;Rhône;062;Coise;Complet;642;103;16.04;539;83.96;36;5.61;6.68;11;1.71;2.04;492;76.64;91.28;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_063;69;Rhône;063;Collonges-au-Mont-d'Or;Complet;3418;724;21.18;2694;78.82;117;3.42;4.34;36;1.05;1.34;2541;74.34;94.32;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_064;69;Rhône;064;Condrieu;Complet;2749;666;24.23;2083;75.77;136;4.95;6.53;28;1.02;1.34;1919;69.81;92.13;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_065;69;Rhône;065;Corcelles-en-Beaujolais;Complet;701;154;21.97;547;78.03;29;4.14;5.3;6;0.86;1.1;512;73.04;93.6;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_066;69;Rhône;066;Cours;Complet;3138;806;25.69;2332;74.31;161;5.13;6.9;64;2.04;2.74;2107;67.14;90.35;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_067;69;Rhône;067;Courzieu;Complet;925;229;24.76;696;75.24;52;5.62;7.47;14;1.51;2.01;630;68.11;90.52;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_068;69;Rhône;068;Couzon-au-Mont-d'Or;Complet;1843;423;22.95;1420;77.05;76;4.12;5.35;22;1.19;1.55;1322;71.73;93.1;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_069;69;Rhône;069;Craponne;Complet;8591;2020;23.51;6571;76.49;296;3.45;4.5;107;1.25;1.63;6168;71.8;93.87;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_070;69;Rhône;070;Cublize;Complet;919;182;19.8;737;80.2;35;3.81;4.75;9;0.98;1.22;693;75.41;94.03;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
69_071;69;Rhône;071;Curis-au-Mont-d'Or;Complet;887;157;17.7;730;82.3;55;6.2;7.53;11;1.24;1.51;664;74.86;90.96;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-18T14:29:31.512838;2022_burvot_t2_france_entiere.xlsx
