Code du département;Libellé du département;Code de la commune;Libellé de la commune;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;source_sheet_name;extraction_source_url;ingestion_timestamp;source_file_name
69;RHONE;58;Chiroubles;326;60;18.4;266;81.6;14;4.29;5.26;252;77.3;94.74;M;HOLLANDE;François;102;31.29;40.48;M;SARKOZY;Nicolas;150;46.01;59.52;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;59;Civrieux-d'Azergues;1032;148;14.34;884;85.66;32;3.1;3.62;852;82.56;96.38;M;HOLLANDE;François;304;29.46;35.68;M;SARKOZY;Nicolas;548;53.1;64.32;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;60;Claveisolles;478;74;15.48;404;84.52;30;6.28;7.43;374;78.24;92.57;M;HOLLANDE;François;118;24.69;31.55;M;SARKOZY;Nicolas;256;53.56;68.45;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;61;Cogny;834;122;14.63;712;85.37;30;3.6;4.21;682;81.77;95.79;M;HOLLANDE;François;216;25.9;31.67;M;SARKOZY;Nicolas;466;55.88;68.33;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;62;Coise;577;78;13.52;499;86.48;27;4.68;5.41;472;81.8;94.59;M;HOLLANDE;François;143;24.78;30.3;M;SARKOZY;Nicolas;329;57.02;69.7;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;63;Collonges-au-Mont-d'Or;2950;397;13.46;2553;86.54;102;3.46;4;2451;83.08;96;M;HOLLANDE;François;720;24.41;29.38;M;SARKOZY;Nicolas;1731;58.68;70.62;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;64;Condrieu;2612;476;18.22;2136;81.78;89;3.41;4.17;2047;78.37;95.83;M;HOLLANDE;François;1042;39.89;50.9;M;SARKOZY;Nicolas;1005;38.48;49.1;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;65;Corcelles-en-Beaujolais;621;103;16.59;518;83.41;31;4.99;5.98;487;78.42;94.02;M;HOLLANDE;François;153;24.64;31.42;M;SARKOZY;Nicolas;334;53.78;68.58;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;66;Cours-la-Ville;2825;479;16.96;2346;83.04;186;6.58;7.93;2160;76.46;92.07;M;HOLLANDE;François;948;33.56;43.89;M;SARKOZY;Nicolas;1212;42.9;56.11;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;67;Courzieu;833;103;12.36;730;87.64;41;4.92;5.62;689;82.71;94.38;M;HOLLANDE;François;247;29.65;35.85;M;SARKOZY;Nicolas;442;53.06;64.15;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
69;RHONE;68;Couzon-au-Mont-d'Or;1719;287;16.7;1432;83.3;53;3.08;3.7;1379;80.22;96.3;M;HOLLANDE;François;634;36.88;45.98;M;SARKOZY;Nicolas;745;43.34;54.02;Tour 2;https://www.data.gouv.fr/api/1/datasets/r/f81b2215-b297-4616-acbf-d8790ee38197;2026-03-28T00:38:11.459181;2012_pres_t1_t2_communes_france.xls
