Code du département;Libellé du département;Code de la commune;Libellé de la commune;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;Voix_1;% Voix/Ins_1;% Voix/Exp_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;Voix_2;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
69;Rhône;053;Chénas;Complet;453;116;25.61;337;74.39;23;5.08;6.82;11;2.43;3.26;303;66.89;89.91;1;M;MACRON;Emmanuel;177;39.07;58.42;2;F;LE PEN;Marine;126;27.81;41.58;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;054;Chénelette;Complet;288;50;17.36;238;82.64;25;8.68;10.5;2;0.69;0.84;211;73.26;88.66;1;M;MACRON;Emmanuel;92;31.94;43.6;2;F;LE PEN;Marine;119;41.32;56.4;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;055;Les Chères;Complet;1086;217;19.98;869;80.02;44;4.05;5.06;13;1.2;1.5;812;74.77;93.44;1;M;MACRON;Emmanuel;466;42.91;57.39;2;F;LE PEN;Marine;346;31.86;42.61;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;056;Chessy-les-Mines;Complet;1445;302;20.9;1143;79.1;70;4.84;6.12;14;0.97;1.22;1059;73.29;92.65;1;M;MACRON;Emmanuel;600;41.52;56.66;2;F;LE PEN;Marine;459;31.76;43.34;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;057;Chevinay;Complet;449;89;19.82;360;80.18;20;4.45;5.56;3;0.67;0.83;337;75.06;93.61;1;M;MACRON;Emmanuel;207;46.1;61.42;2;F;LE PEN;Marine;130;28.95;38.58;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;058;Chiroubles;Complet;342;68;19.88;274;80.12;19;5.56;6.93;4;1.17;1.46;251;73.39;91.61;1;M;MACRON;Emmanuel;162;47.37;64.54;2;F;LE PEN;Marine;89;26.02;35.46;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;059;Civrieux-d'Azergues;Complet;1180;231;19.58;949;80.42;40;3.39;4.21;11;0.93;1.16;898;76.1;94.63;1;M;MACRON;Emmanuel;577;48.9;64.25;2;F;LE PEN;Marine;321;27.2;35.75;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;060;Claveisolles;Complet;451;80;17.74;371;82.26;16;3.55;4.31;2;0.44;0.54;353;78.27;95.15;1;M;MACRON;Emmanuel;162;35.92;45.89;2;F;LE PEN;Marine;191;42.35;54.11;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;061;Cogny;Complet;933;177;18.97;756;81.03;37;3.97;4.89;7;0.75;0.93;712;76.31;94.18;1;M;MACRON;Emmanuel;428;45.87;60.11;2;F;LE PEN;Marine;284;30.44;39.89;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
69;Rhône;062;Coise;Complet;642;103;16.04;539;83.96;36;5.61;6.68;11;1.71;2.04;492;76.64;91.28;1;M;MACRON;Emmanuel;283;44.08;57.52;2;F;LE PEN;Marine;209;32.55;42.48;https://www.data.gouv.fr/api/1/datasets/r/06d9816c-1b87-498d-985e-f312acee4f51;2026-03-24T14:36:28.798110;resultats-par-niveau-subcom-t2-france-entiere.xlsx
