Libellé de la commune;Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;Votants;Blancs;Nuls;Exprimés;Voix_1;Voix_2;N°Panneau_1;Sexe_1;Nom_1;Prénom_1;N°Panneau_2;Sexe_2;Nom_2;Prénom_2;% Abs/Ins;% Vot/Ins;% Blancs/Ins;% Blancs/Vot;% Nuls/Ins;% Nuls/Vot;% Exp/Ins;% Exp/Vot;% Voix/Ins_1;% Voix/Exp_1;% Voix/Ins_2;% Voix/Exp_2;extraction_source_url;ingestion_timestamp;source_file_name
Chazay-d'Azergues;69;Rhône;09;9ème circonscription;3282.0;636.0;2646.0;336.0;0.0;2310.0;1716.0;594.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.38;80.62;10.24;12.7;0.0;0.0;70.38;87.3;52.29;74.29;18.1;25.71;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chessy-les-Mines;69;Rhône;08;8ème circonscription;1352.0;276.0;1076.0;110.0;18.0;948.0;607.0;341.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.41;79.59;8.14;10.22;1.33;1.67;70.12;88.1;44.9;64.03;25.22;35.97;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chevinay;69;Rhône;08;8ème circonscription;439.0;65.0;374.0;40.0;5.0;329.0;215.0;114.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;14.81;85.19;9.11;10.7;1.14;1.34;74.94;87.97;48.97;65.35;25.97;34.65;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chiroubles;69;Rhône;09;9ème circonscription;300.0;49.0;251.0;32.0;9.0;210.0;130.0;80.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;16.33;83.67;10.67;12.75;3.0;3.59;70.0;83.67;43.33;61.9;26.67;38.1;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Châtillon;69;Rhône;08;8ème circonscription;1641.0;338.0;1303.0;129.0;31.0;1143.0;833.0;310.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.6;79.4;7.86;9.9;1.89;2.38;69.65;87.72;50.76;72.88;18.89;27.12;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chénas;69;Rhône;09;9ème circonscription;420.0;89.0;331.0;36.0;5.0;290.0;179.0;111.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.19;78.81;8.57;10.88;1.19;1.51;69.05;87.61;42.62;61.72;26.43;38.28;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Chénelette;69;Rhône;08;8ème circonscription;294.0;59.0;235.0;26.0;7.0;202.0;90.0;112.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;20.07;79.93;8.84;11.06;2.38;2.98;68.71;85.96;30.61;44.55;38.1;55.45;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Civrieux-d'Azergues;69;Rhône;05;5ème circonscription;1092.0;214.0;878.0;79.0;14.0;785.0;529.0;256.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.6;80.4;7.23;9.0;1.28;1.59;71.89;89.41;48.44;67.39;23.44;32.61;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Claveisolles;69;Rhône;08;8ème circonscription;461.0;97.0;364.0;30.0;10.0;324.0;161.0;163.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;21.04;78.96;6.51;8.24;2.17;2.75;70.28;89.01;34.92;49.69;35.36;50.31;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
Cogny;69;Rhône;09;9ème circonscription;928.0;180.0;748.0;78.0;18.0;652.0;397.0;255.0;1;M;MACRON;Emmanuel;2;F;LE PEN;Marine;19.4;80.6;8.41;10.43;1.94;2.41;70.26;87.17;42.78;60.89;27.48;39.11;https://www.data.gouv.fr/api/1/datasets/r/2e3e44de-e584-4aa2-8148-670daf5617e1;2026-03-22T23:15:39.572347;PR17_BVot_T2_FE.txt
