CODGEO,LIBGEO,NBMENFISC15,NBPERSMENFISC15,MED15,PIMP15,TP6015,TP60AGE115,TP60AGE215,TP60AGE315,TP60AGE415,TP60AGE515,TP60AGE615,TP60TOL115,TP60TOL215,PACT15,PTSA15,PCHO15,PBEN15,PPEN15,PPAT15,PPSOC15,PPFAM15,PPMINI15,PPLOGT15,PIMPOT15,D115,D915,RD15,year,extraction_source_url,ingestion_timestamp,source_file_name
69068,Couzon-au-Mont-d'Or,998,2396,24563.1785714286,66,9,,,,,,,,,78.3,69.1,3.7,5.6,24.6,14.5,3,1.6,0.7,0.7,-20.4,12695.4,44390.6666666667,3.49659456706103,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69069,Craponne,4737,11199.5,24907.7777777778,69,7,,,8,,,,,14,74.7,68.7,2.7,3.3,28.7,12.3,3.3,1.8,0.7,0.8,-19,13776.58,42857.5,3.11089544720097,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69070,Cublize,508,1204,20378.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69071,Curis-au-Mont-d'Or,425,1168,29442.5,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69072,Dardilly,3135,8517.5,29868.5,75,6,,,,,,,,14,81.2,72.3,2.9,6,23.4,16.7,2.4,1.4,0.5,0.5,-23.7,14951,57938.3333333333,3.87521458988251,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69074,Denicé,569,1514.5,24395.3333333333,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69075,Dième,62,189.5,22870,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69076,Dommartin,950,2698.5,30930.8,79,,,,,,,,,,82.4,74.1,2.5,5.8,23.5,15.9,1.7,1.2,0.3,0.3,-23.5,16285,56723.3333333333,3.48316446627776,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69077,Dracé,347,976,22528.0952380952,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
69078,Duerne,307,825.5,21148.6666666667,,,,,,,,,,,,,,,,,,,,,,,,,2015,https://www.insee.fr/fr/statistiques/fichier/3560121/filo-revenu-pauvrete-menage-2015.zip,2026-03-30T19:11:44.497047,INSEE_FILOSOFI_2015
